1 | Title | Definition | No
3437 | Title | Aftercare | No
3438 | NarrativeText | Discomfort or bruising may occur at the puncture site or the person may feel dizzy or faint. Pressure to the punc- ture site until the bleeding stops reduces bruising. Apply- ing warm packs to the puncture site relieves discomfort. | No
3439 | Title | Normal results | No
3440 | NarrativeText | Normal results vary based on the laboratory and the method used. | No
3441 | Title | Abnormal results | No
3442 | NarrativeText | Eight out of ten persons with acute pancreatitis will have high amylase levels, up to four times the normal level. Other causes of increased amylase, such as mumps, kidney failure, pregnancy occurring in the abdomen but outside the uterus (ectopic pregnancy), certain tumors, a penetrating ulcer, certain complications of diabetes, and advanced pancreatic cancer, are further investigated based on the person’s symptoms, medical history, and the results of other tests. | No
3443 | NarrativeText | In kidney disease, the kidneys are not as efficient at removing amylase from the blood. Amylase rises in the blood, but stays at normal levels in the urine. | No
3444 | NarrativeText | People with macroamylasia have large clumps of amylase in their blood. These clumps are too large to move through the kidney, so they stay in the blood. Amy- lase levels in the blood will be high; levels in the urine will be low. | No
3445 | NarrativeText | Amylase levels may be low in severe liver disease (including hepatitis), conditions in which the pancreas fails to secrete enough enzyme for proper digestions (pancreatic insufficiency), when toxic materials build up in the blood during pregnancy (pre-eclampsia), following burns, in thyroid disorders, and in advanced cystic fibrosis. Some medications can raise or lower levels. | No
3446 | Title | Resources | No
3447 | Title | BOOKS | No
3448 | NarrativeText | A Manual of Laboratory and Diagnostic Tests. 5th ed. Ed. Francis Fishback. Philadelphia: Lippincott, 1996. | No
3449 | Title | KEY TERMS | No
3450 | NarrativeText | Amylase—A digestive enzyme made primarily by the pancreas and salivary glands. | No
3451 | NarrativeText | Enzyme—A substance made and used by the body to trigger specific chemical reactions. | No
3452 | NarrativeText | Pancreatitis—Inflammation of the pancreas. | No
3453 | ListItem | Henry, John B., ed. Clinical Diagnosis and Management by Laboratory Methods. 19th ed. Philadelphia: W. B. Saun- ders Co., 1996. | No
3454 | ListItem | Lehman, Craig A. Saunders Manual of Clinical Laboratory Science. Philadelphia: W. B. Saunders Co., 1998. | No
3455 | ListItem | Mayo Medical Laboratories. Interpretive Handbook. Rochester, MN: Mayo Medical Laboratories, 1997. | No
3456 | ListItem | Pagana, Kathleen Deska. Mosby's Manual of Diagnostic and Laboratory Tests. St. Louis: Mosby, Inc., 1998. | No
3457 | NarrativeText | Nancy J. Nordenson | No
3459 | Title | Definition | No
3460 | NarrativeText | Amyloidosis is a progressive, incurable, metabolic disease characterized by abnormal deposits of protein in one or more organs or body systems. | No
3461 | Title | Description | No
3462 | NarrativeText | Amyloid proteins are manufactured by malfunction- ing bone marrow. Amyloidosis, which occurs when accu- mulated amyloid deposits impair normal body function, can cause organ failure or death. It is a rare disease, occurring in about eight of every 1,000,000 people. It affects males and females equally and usually develops after the age of 40. At least 15 types of amyloidosis have been identified. Each one is associated with deposits of a different kind of protein. | No
3463 | Title | Types of amyloidosis | No
3464 | NarrativeText | The major forms of this disease are primary sys- temic, secondary, and familial or hereditary amyloidosis. There is also another form of amyloidosis associated with Alzheimer’s disease. | No
3465 | NarrativeText | Primary systemic amyloidosis usually develops between the ages of 50 and 60. With about 2,000 new cases diagnosed annually, primary systemic amyloidosis is the most common form of this disease in the United States. Also known as light-chain-related amyloidosis, it may also occur in association with multiple myeloma (bone marrow cancer). | No
3466 | NarrativeText | Secondary amyloidosis is a result of chronic infec- tion or inflammatory disease. It is often associated with: ¢ familial Mediterranean fever (a bacterial infection characterized by chills, weakness, headache, and recurring fever) | No
3467 | ListItem | * granulomatous ileitis (inflammation of the small intes- tine) | No
3468 | ListItem | * Hodgkin’s disease (cancer of the lymphatic system) | No
3469 | ListItem | + leprosy * osteomyelitits (bacterial infection of bone and bone marrow) | No
3470 | ListItem | ¢ rheumatoid arthritis Familial or hereditary amyloidosis is the only inher- ited form of the disease. It occurs in members of most ethnic groups, and each family has a distinctive pattern of symptoms and organ involvement. Hereditary amyloi- dosis is though to be autosomal dominant, which means that only one copy of the defective gene is necessary to cause the disease. A child of a parent with familial amy- loidosis has a 50-50 chance of developing the disease. | No
3471 | NarrativeText | Amyloidosis can involve any organ or system in the body. The heart, kidneys, gastrointestinal system, and nervous system are affected most often. Other common sites of amyloid accumulation include the brain, joints, liver, spleen, pancreas, respiratory system, and skin. | No
3472 | Title | Causes and symptoms | No
3473 | NarrativeText | The cause of amyloidosis is unknown. Most patients have gastrointestinal abnormalities, but other symptoms vary according to the organ(s) or system(s) affected by the disease. Usually the affected organs are rubbery, firm, and enlarged. | No
3474 | Title | Heart | No
3475 | NarrativeText | Because amyloid protein deposits can limit the heart’s ability to fill with blood between beats, even the slightest exertion can cause shortness of breath. If the heart’s electrical system is affected, the heart’s rhythm may become erratic. The heart may also be enlarged and heart murmurs may be present. Congestive heart fail- ure may result. | No
3476 | Title | Kidneys | No
3477 | NarrativeText | The feet, ankles, and calves swell when amyloidosis damages the kidneys. The kidneys become small and | No
3478 | Title | KEY TERMS | No
3479 | NarrativeText | Amyloid—A waxy, starch-like protein. | No
3480 | NarrativeText | Peripheral nerves—Nerves that carry information to and from the spinal cord. | No
3481 | NarrativeText | Stem cells—Parent cells from which other cells are made. | No
3482 | NarrativeText | hard, and kidney failure may result. It is not unusual for a patient to lose 20-25 pounds and develop a distaste for meat, eggs, and other protein-rich foods. Cholesterol ele- vations that don’t respond to medication and protein in the urine (proteinuria) are common. | No
3483 | Title | Nervous system | No
3484 | NarrativeText | Nervous system symptoms often appear in patients with familial amyloidosis. Inflammation and degenera- tion of the peripheral nerves (peripheral neuropathy) may be present. One of four patients with amyloidosis has carpal tunnel syndrome, a painful disorder that causes numbness or tingling in response to pressure on nerves around the wrist. Amyloidosis that affects nerves to the feet can cause burning or numbness in the toes and soles and eventually weaken the legs. If nerves control- ling bowel function are involved, bouts of diarrhea alternate with periods of constipation. If the disease affects nerves that regulate blood pressure, patients may feel dizzy or faint when they stand up suddenly. | No
3485 | Title | Liver and spleen | No
3486 | NarrativeText | The most common symptoms are enlargement of these organs. Liver function is not usually affected until quite late in the course of the disease. Protein accumula- tion in the spleen can increase the risk of rupture of this organ due to trauma. | No
3487 | Title | Gastrointestinal system | No
3488 | NarrativeText | The tongue may be inflammed, enlarged, and stiff. Intestinal movement (motility) may be reduced. Absorp- tion of food and other nutrients may be impaired (and may lead to malnutrition), and there may also be bleed- ing, abdominal pain, constipation, and diarrhea. | No
3489 | Title | Skin | No
3490 | NarrativeText | Skin symptoms occur in about half of all cases of primary and secondary amyloidosis and in all cases where there is inflammation or degeneration of the peripheral nerves. Waxy-looking raised bumps (papules) | No
3491 | Title | 162 | No
3492 | NarrativeText | may appear on the face and neck, in the groin, armpits, or anal area, and on the tongue or in the ear canals. Swelling, hemorrhage beneath the skin (purpura), hair loss, and dry mouth may also occur. | No
3493 | Title | Respiratory system | No
3494 | NarrativeText | Airways may be obstructed by amyloid deposits in the nasal sinus, larynx and traches (windpipe). | No
3495 | Title | Diagnosis | No
3496 | NarrativeText | Blood and urine tests can reveal the presence of amyloid protein, but tissue or bone-marrow biopsy is necessary to positively diagnose amyloidosis. Once the diagnosis has been confirmed, additional laboratory tests and imaging procedures are performed to determine: * which type of amyloid protein is involved ¢ which organ(s) or system(s) have been affected | No
3497 | ListItem | + how far the disease has progressed | No
3498 | Title | Treatment | No
3499 | NarrativeText | The goal of treatment is to slow down or stop pro- duction of amyloid protein, eliminate existing amyloid deposits, alleviate underlying disorders (that give rise to secondary amyloidosis), and relieve symptoms caused by heart or kidney damage. Specialists in cardiology, hema- tology (the study of blood and the tissues that form it), nephrology (the study of kidney function and abnormali- ties), neurology (the study of the nervous system), and rheumatology (the study of disorders characterized by inflammation or degeneration of connective tissue) work together to assess a patient’s medical status and evaluate the effects of amyloidosis on every part of the body. | No
3500 | NarrativeText | Colchicine (Colebenemid, Probeneaid), prednisone, (Prodium), and other anti-inflammatory drugs can slow or stop disease progression. Bone-marrow and stem-cell transplants can enable patients to tolerate higher and more effective doses of melphalan (Alkeran) and other chemotherapy drugs prescribed to combat this non- malignant disease. Surgery can relieve nerve pressure and may be performed to correct other symptom-produc- ing conditions. Localized amyloid deposits can also be removed surgically. Dialysis or kidney transplantation can lengthen and improve the quality of life for patients whose amyloidosis results in kidney failure. Heart trans- plants are rarely performed. | No
3501 | Title | Supportive measures | No
3502 | NarrativeText | Although no link has been established between diet and development of amyloid proteins, a patient whose heart or kidneys have been affected by the disease may be advised to use a diuretic or follow a low-salt diet. | No
3503 | Title | Prognosis | No
3504 | NarrativeText | Most cases of amyloidosis are diagnosed after the disease has reached an advanced stage. The course of each patient’s illness is unique but death, usually a result of heart disease or kidney failure, generally occurs within a few years. Amyloidosis associated by multiple myelo- ma usually has a poor prognosis. Most patients with both diseases die within one to two years. | No
3505 | Title | Prevention | No
3506 | NarrativeText | Genetic counseling may be helpful for patients with hereditary amyloidosis and their families. Use of cholchicine in patients with familial Mediterranean fever has successfully prevented amyloidosis. | No
3507 | Title | Resources | No
3508 | Title | BOOKS | No
3509 | ListItem | Harrison's Principles of Internal Medicine. Ed. Anthony S. Fauci, et al. New York: McGraw-Hill, 1997. | No
3510 | Title | ORGANZATONS | No
3511 | ListItem | Amyloidosis Network International. 7118 Cole Creek Drive, Houston, TX 77092-1421. (888) [AMYLOID. <http://www. health.gov/nhic/Scripts/Entry.cfm?HRCode=HR2397>. | No
3512 | ListItem | National Organization for Rare Disorders. P.O. Box 8923, New Fairfield, CT 06812-8923. (800) 999-6673. <http://www. rarediseases.org>. | No
3513 | Title | OTHER | No
3514 | NarrativeText | Mayo Clinic Online. 5 March 1998. <http://www.mayohealth.org>. | No
3515 | NarrativeText | Maureen Haggerty | No
3517 | Title | Definition | No
3518 | NarrativeText | Amyotrophic lateral sclerosis (ALS) is a disease that breaks down tissues in the nervous system (a neurode- generative disease) of unknown cause that affects the nerves responsible for movement. It is also known as motor neuron disease and Lou Gehrig’s disease, after the baseball player whose career it ended. | No
3519 | Title | Description | No
3520 | NarrativeText | ALS is a disease of the motor neurons, those nerve cells reaching from the brain to the spinal cord (upper motor neurons) and the spinal cord to the peripheral nerves (lower motor neurons) that control muscle move- ment. In ALS, for unknown reasons, these neurons die, | No
3521 | NarrativeText | leading to a progressive loss of the ability to move virtual- ly any of the muscles in the body. ALS affects “volun- tary” muscles, those controlled by conscious thought, such as the arm, leg, and trunk muscles. ALS, in and of itself, does not affect sensation, thought processes, the heart muscle, or the “smooth” muscle of the digestive sys- tem, bladder, and other internal organs. Most people with ALS retain function of their eye muscles as well. Howev- er, various forms of ALS may be associated with a loss of intellectual function (dementia) or sensory symptoms. | No
3522 | NarrativeText | “Amyotrophic” refers to the loss of muscle bulk, a cardinal sign of ALS. “Lateral” indicates one of the regions of the spinal cord affected, and “sclerosis” describes the hardened tissue that develops in place of healthy nerves. ALS affects approximately 30,000 people in the United States, with about 5,000 new cases each year. It usually begins between the ages of 40 and 70, although younger onset is possible. Men are slightly more likely to develop ALS than women. | No
3523 | NarrativeText | ALS progresses rapidly in most cases. It is fatal within three years for 50% of all people affected, and within five years for 80%. Ten percent of people with ALS live beyond eight years. | No
3524 | Title | Causes and symptoms | No
3525 | Title | Causes | No
3526 | NarrativeText | The symptoms of ALS are caused by the death of motor neurons in the spinal cord and brain. Normally, these neurons convey electrical messages from the brain to the muscles to stimulate movement in the arms, legs, trunk, neck, and head. As motor neurons die, the muscles they enervate cannot be moved as effectively, and weakness results. In addition, lack of stimulation leads to muscle wasting, or loss of bulk. Involvement of the upper motor neurons causes spasms and increased tone in the limbs, and abnormal reflexes. Involvement of the lower motor neurons causes muscle wasting and twitching (fasciculations). | No
3527 | NarrativeText | Although many causes of motor neuron degenera- tion have been suggested for ALS, none has yet been proven responsible. Results of recent research have implicated toxic molecular fragments known as free radi- cals. Some evidence suggests that a cascade of events leads to excess free radical production inside motor neu- rons, leading to their death. Why free radicals should be produced in excess amounts is unclear, as is whether this excess is the cause or the effect of other degenerative processes. Additional agents within this toxic cascade may include excessive levels of a neurotransmitter known as glutamate, which may over-stimulate motor neurons, thereby increasing free-radical production, and a faulty detoxification enzyme known as SOD-1, for | No
3528 | Title | sclerosis | No
3529 | Image | NORMAL SPINAL NEURON Normal nerve fiber Normal skeletal muscle Affected nerve fiber DISEASED SPINAL NEURON | Wasted skeletal muscle Amyotrophic lateral sclerosis (ALS) is caused by the degeneration and death of motor neurons in the spinal cord and brain. These neurons convey electrical messages from the brain to the muscles to stimulate movement in the arms, legs, trunk, neck, and head. As motor neurons degenerate, the muscles are weakened and cannot move as effectively, leading to muscle wasting. (I/lustration by Electronic Illustrators Group.) | No
3530 | NarrativeText | superoxide dismutase type 1. The actual pathway of destruction is not known, however, nor is the trigger for the rapid degeneration that marks ALS. Further research may show that other pathways are involved, perhaps ones even more important than this one. Autoimmune factors or premature aging may play some role, as could viral agents or environmental toxins. | No
3531 | NarrativeText | Sporadic ALS has no known cause. While many environmental toxins have been suggested as causes, to date no research has confirmed any of the candidates investigated, including aluminum and mercury and lead from dental fillings. As research progresses, it is likely that many cases of sporadic ALS will be shown to have a genetic basis as well. | No
3532 | NarrativeText | Two major forms of ALS are known: familial and sporadic. Familial ALS accounts for about 10% of all ALS cases. As the name suggests, familial ALS is believed to be caused by the inheritance of one or more faulty genes. About 15% of families with this type of ALS have muta- tions in the gene for SOD-1. SOD-1 gene defects are dom- inant, meaning only one gene copy is needed to develop the disease. Therefore, a parent with the faulty gene has a 50% chance of passing the gene along to a child. | No
3533 | NarrativeText | A third type, called Western Pacific ALS, occurs in Guam and other Pacific islands. This form combines symptoms of both ALS and Parkinson’s disease. | No
3534 | Title | Symptoms | No
3535 | NarrativeText | The earliest sign of ALS is most often weakness in the arms or legs, usually more pronounced on one side than the other at first. Loss of function is usually more | No
3536 | Title | 164 | No
3537 | NarrativeText | rapid in the legs among people with familial ALS and in the arms among those with sporadic ALS. Leg weakness may first become apparent by an increased frequency of stumbling on uneven pavement, or an unexplained diffi- culty climbing stairs. Arm weakness may lead to difficul- ty grasping and holding a cup, for instance, or loss of dexterity in the fingers. | No
3538 | NarrativeText | Less often, the earliest sign of ALS is weakness in the bulbar muscles, those muscles in the mouth and throat that control chewing, swallowing, and speaking. A person with bulbar weakness may become hoarse or tired after speaking at length, or speech may become slurred. | No
3539 | NarrativeText | In addition to weakness, the other cardinal signs of ALS are muscle wasting and persistent twitching (fascic- ulation). These are usually seen after weakness becomes obvious. Fasciculation is quite common in people without the disease, and is virtually never the first sign of ALS. | No
3540 | NarrativeText | While initial weakness may be limited to one region, ALS almost always progresses rapidly to involve virtually all the voluntary muscle groups in the body. Later symp- toms include loss of the ability to walk, to use the arms and hands, to speak clearly or at all, to swallow, and to hold the head up. Weakness of the respiratory muscles makes breathing and coughing difficult, and poor swallowing con- trol increases the likelihood of inhaling food or saliva (aspi- ration). Aspiration increases the likelihood of lung infec- tion, which is often the cause of death. With a ventilator and scrupulous bronchial hygiene, a person with ALS may live much longer than the average, although weakness and wasting will continue to erode any remaining functional abilities. Most people with ALS continue to retain function of the extraocular muscles that move their eyes, allowing some communication to take place with simple blinks or through use of a computer-assisted device. | No
3541 | Title | Diagnosis | No
3542 | NarrativeText | The diagnosis of ALS begins with a complete med- ical history and physical exam, plus a neurological exam- ination to determine the distribution and extent of weak- ness. An electrical test of muscle function, called an elec- tromyogram, or EMG, is an important part of the diag- nostic process. Various other tests, including blood and urine tests, x rays, and CT scans, may be done to rule out other possible causes of the symptoms, such as tumors of the skull base or high cervical spinal cord, thyroid dis- ease, spinal arthritis, lead poisoning, or severe vitamin deficiency. ALS is rarely misdiagnosed following a care- ful review of all these factors. | No
3543 | Title | Treatment | No
3544 | NarrativeText | There is no cure for ALS, and no treatment that can significantly alter its course. There are many things | No
3545 | Title | KEY TERMS | No
3546 | NarrativeText | Aspiration—Inhalation of food or liquids into the lungs. | No
3547 | NarrativeText | Bulbar muscles—Muscles of the mouth and throat responsible for speech and swallowing. | No
3548 | NarrativeText | Fasciculations—Involuntary twitching of muscles. Motor neuron—A nerve cell that controls a mus- cle. | No
3549 | NarrativeText | Riluzole (Rilutek)—The first drug approved in the United States for the treatment of ALS. | No
3550 | NarrativeText | Voluntary muscle—A muscle under conscious control; contrasted with smooth muscle and heart muscle which are not under voluntary control. | No
3551 | NarrativeText | which can be done, however, to help maintain quality of life and to retain functional ability even in the face of progressive weakness. | No
3552 | NarrativeText | As of early 1998, only one drug had been approved for treatment of ALS. Riluzole (Rilutek) appears to pro- vide on average a three-month increase in life expectancy when taken regularly early in the disease, and shows a significant slowing of the loss of muscle strength. Rilu- zole acts by decreasing glutamate release from nerve ter- minals. Experimental trials of nerve growth factor have not demonstrated any benefit. No other drug or vitamin currently available has been shown to have any effect on the course of ALS. | No
3553 | NarrativeText | A physical therapist works with an affected person and family to implement exercise and stretching pro- grams to maintain strength and range of motion, and to promote general health. Swimming may be a good choice for people with ALS, as it provides a low-impact workout to most muscle groups. One result of chronic inactivity is contracture, or muscle shortening. Contrac- tures limit a person’s range of motion, and are often painful. Regular stretching can prevent contracture. Sev- eral drugs are available to reduce cramping, a common complaint in ALS. | No
3554 | NarrativeText | An occupational therapist can help design solutions to movement and coordination problems, and provide advice on adaptive devices and home modifications. | No
3555 | NarrativeText | Speech and swallowing difficulties can be mini- mized or delayed through training provided by a speech- language pathologist. This specialist can also provide advice on communication aids, including computer- assisted devices and simpler word boards. | No
3556 | Title | sclerosis | No
3557 | NarrativeText | Nutritional advice can be provided by a nutritionist. A person with ALS often needs softer foods to prevent jaw exhaustion or choking. Later in the disease, nutri- tion may be provided by a gastrostomy tube inserted into the stomach. | No
3558 | NarrativeText | Mechanical ventilation may be used when breathing becomes too difficult. Modern mechanical ventilators are small and portable, allowing a person with ALS to main- tain the maximum level of function and mobility. Ventila- tion may be administered through a mouth or nose piece, or through a tracheostomy tube. This tube is inserted through a small hole made in the windpipe. In addition to providing direct access to the airway, the tube also decreases the risk aspiration. While many people with rapidly progressing ALS choose not to use ventilators for lengthy periods, they are increasingly being used to pro- long life for a short time. | No
3559 | NarrativeText | The progressive nature of ALS means that most per- sons will eventually require full-time nursing care. This care is often provided by a spouse or other family mem- ber. While the skills involved are not difficult to learn, the physical and emotional burden of care can be over- whelming. Caregivers need to recognize and provide for their own needs as well as those of people with ALS, to prevent depression, burnout, and bitterness. | No
3560 | NarrativeText | Throughout the disease, a support group can provide important psychological aid to affected persons and their caregivers as they come to terms with the losses ALS inflicts. Support groups are sponsored by both the ALS Society and the Muscular Dystrophy Association. | No
3561 | Title | Alternative treatment | No
3562 | NarrativeText | Given the grave prognosis and absence of tradition- al medical treatments, it is not surprising that a large number of alternative treatments have been tried for ALS. Two studies published in 1988 suggested that amino-acid therapies may provide some improvement for some people with ALS. While individual reports claim benefits for megavitamin therapy, herbal medi- cine, and removal of dental fillings, for instance, no evi- dence suggests that these offer any more than a brief psychological boost, often followed by a more severe letdown when it becomes apparent the disease has con- tinued unabated. However, once the causes of ALS are better understood, alternative therapies may be more intensively studied. For example, if damage by free radi- cals turns out to be the root of most of the symptoms, antioxidant vitamins and supplements may be used more routinely to slow the progression of ALS. Or, if environmental toxins are implicated, alternative thera- pies with the goal of detoxifying the body may be of some use. | No
3563 | Title | 166 | No
3564 | Title | Prognosis | No
3565 | NarrativeText | ALS usually progresses rapidly, and leads to death from respiratory infection within three to five years in most cases. The slowest disease progression is seen in those who are young and have their first symptoms in the limbs. About 10% of people with ALS live longer than eight years. | No
3566 | Title | Prevention | No
3567 | NarrativeText | There is no known way to prevent ALS or to alter its course. | No
3568 | Title | Resources | No
3569 | Title | BOOKS | No
3570 | ListItem | Adams, Raymond D, Victor, Maurice and Ropper, Allan H. Adam's & Victor's Principles of Neurology, 6th ed. New York, McGraw Hill, 1997. | No
3571 | ListItem | Brown, Robert H. “The motor neuron diseases.” In Harrison’s Principles of Internal Medicine, 14th ed., edited by Anthony S. Fauci, et al. New York: McGraw-Hill, 1998, 2368-2372. | No
3572 | ListItem | Feldman, Eva L. “Motor neuron diseases.” In Cecil Textbook of Medicine, 21st ed., edited by Goldman, Lee and Bennett, J. Claude. Philadelphia: W.B. Saunders, 2000, 2089-2092. | No
3573 | ListItem | Kimura, Jun and Kaji, Ryuji. Physiology of ALS and Related Diseases. Amsterdam, Elsevier Science, 1997. | No
3574 | ListItem | Mitsumoto, Hiroshi, Chad, David A, Pioro, Erik and Gilman, Sid. Amyotrophic Lateral Sclerosis. New York, Oxford University Press, 1997. | No
3575 | Title | PERODCALS | No
3576 | ListItem | Ansevin CF. Treatment of ALS with pleconaril. Neurology, 56(5): 691-692, 2001. | No
3577 | ListItem | Eisen A, Weber M. The motor cortex and amyotrophic lateral sclerosis. Muscle and Nerve, 24(4): 564-573, 2001. | No
3578 | ListItem | Gelanis DF. Respiratory Failure or Impairment in Amyotrophic Lateral Sclerosis. Current treatment options in neurology, 3(2): 133-138, 2001. | No
3579 | ListItem | Ludolph AC. Treatment of amyotrophic lateral sclerosis—what is the next step? Journal of Neurology, 246 Suppl 6:13-18, 2000. | No
3580 | ListItem | Pasetti C, Zanini G. The physician-patient relationship in amy- otrophic lateral sclerosis. Neurological Science, 21(5): 318-323, 2000. | No
3581 | ListItem | Robberecht W. Genetics of amyotrophic lateral sclerosis. Jour- nal of Neurology, 246 Suppl 6: 2-6, 2000. | No
3582 | ListItem | Robbins RA, Simmons Z, Bremer BA, Walsh SM, Fischer S. Quality of life in ALS is maintained as physical function declines. Neurology, 56(4): 442-444, 2001. | No
3583 | Title | ORGANZATONS | No
3584 | ListItem | ALS Association of America. 27001 Agoura Road, Suite 150, Calabasas Hills, CA 91301-5104. (800) 782-4747 (Infor- mation and Referral Service) or (818) 880-9007. Fax: (818) 880-9006. <http://www.alsa.org/als/>. | No
3585 | ListItem | American Academy of Family Physicians. 11400 Tomahawk Creek Parkway, Leawood, KS 66211-2672. (913) 906- 6000, <http://www.aafp.org/>. fp@aafp.org. | No
3586 | ListItem | American Academy of Neurology. 1080 Montreal Avenue, St. Paul, Minnesota 55116. (651) 695-1940. Fax: (651) 695- 2791. <http://www.aan.com/>. info@aan.org. | No
3587 | ListItem | American Medical Association. 515 N. State Street, Chicago, | No
3588 | ListItem | Centers for Disease Control and Prevention. 1600 Clifton Road, Atlanta, GA 30333. (404) 639-3534 or (800) 311- 3435. <http://www.cdc.gov/ncidod/ eid/vol7no1/brown. htm>. http://www.cdc.gov/ netinfo.htm. | No
3589 | ListItem | Muscular Dystrophy Association. 3300 East Sunrise Drive, Tuc- son AZ 85718-3208. (520) 529-2000 or (800) 572-1717. Fax: (520) 529-5300. <http://www.mdausa.org>. | No
3590 | Title | OTHER | No
3591 | NarrativeText | ALS Society of Canada: <http://www.als.ca/>. ALS Survival Guide: <http://www.lougehrigsdisease.net/>. American Academy of Family Physicians: <http://www.aafp. org/afp/9903 1 5ap/1489.html>. | No
3592 | ListItem | National Institute of Neurological Disorders and Stroke: <http://www.ninds.nih.gov/health_and_medical/disor- ders/amyotrophiclateralsclerosis_doc.htm>. | No
3593 | ListItem | National Library of Medicine: <http://www.nlm.nih.gov/med- lineplus/amyotrophiclateralsclerosis.html>. | No
3594 | ListItem | National Organization for Rare Diseases: <http://www.stepstn. com/cgi-win/nord.exe?proc=Redirect&type=rdb_sum &id=57.htm>. | No
3595 | NarrativeText | World Federation of Neurology: <http://www.wfnals.org/>. | No
3596 | NarrativeText | L. Fleming Fallon, Jr., MD, DrPH | No
3598 | Title | Definition | No
3599 | NarrativeText | An anaerobic infection is an infection caused by bacteria (called anaerobes) which cannot grow in the presence of oxygen. Anaerobic bacteria can infect deep wounds, deep tissues, and internal organs where there is little oxygen. These infections are characterized by abscess formation, foul-smelling pus, and tissue destruction. | No
3600 | Title | Description | No
3601 | NarrativeText | Anaerobic means “life without air.” Anaerobic bac- teria grow in places which completely, or almost com- pletely, lack oxygen. They are normally found in the mouth, gastrointestinal tract, and vagina, and on the skin. Commonly known diseases caused by anaerobic bacteria include gas gangrene, tetanus, and botulism. Nearly all dental infections are caused by anaerobic bacteria. | No
3602 | NarrativeText | Anaerobic bacteria can cause an infection when a normal barrier (such as skin, gums, or intestinal wall) is damaged due to surgery, injury, or disease. Usually, the immune system kills any invading bacteria, but sometimes the bacteria are able to grow and cause an infection. Body sites that have tissue destruction (necrosis) or a poor blood supply are low in oxygen and favor the growth of anaerobic bacteria. The low oxygen condition can result from blood vessel disease, shock, injury, and surgery. | No
3603 | NarrativeText | Anaerobic bacteria can cause infection practically anywhere in the body. For example: * Mouth, head, and neck. Infections can occur in the root canals, gums (gingivitis), jaw, tonsils, throat, sinuses, and ears. | No
3604 | ListItem | « Lung. Anaerobic bacteria can cause pneumonia, lung abscesses, infecton of the lining of the lung (empye- ma), and dilated lung bronchi (bronchiectasis). | No
3605 | ListItem | ¢Intraabdominal. Anaerobic infections within the abdomen include abscess formation, peritonitis, and appendicitis. | No
3606 | ListItem | + Female genital tract. Anaerobic bacteria can cause pelvic abscesses, pelvic inflammatory disease, inflammation of the uterine lining (endometritis), and pelvic infections following abortion, childbirth, and surgery. | No
3607 | ListItem | « Skin and soft tissue. Anaerobic bacteria are common causes of diabetic skin ulcers, gangrene, destructive infection of the deep skin and tissues (necrotizing fasci- tis), and bite wound infections. | No
3608 | ListItem | * Central nervous system. Anaerobic bacteria can cause brain and spinal cord abscesses. | No
3609 | ListItem | * Bloodstream. Anaerobic bacteria can be found in the bloodstream of ill patients (a condition called bac- teremia). | No
3610 | Title | Causes and symptoms | No
3611 | NarrativeText | People who have experienced shock, injury, or surgery, and those with blood vessel disease or tumors are at an increased risk for infection by anaerobic bacte- ria. There are many different kinds of anaerobic bacteria which can cause an infection. Indeed, most anaerobic infections are “mixed infections” which means that there is a mixture of different bacteria growing. The anaerobic bacteria that most frequently cause infections are Bacteroides fragilis, Peptostreptococcus, and Clostridium species. | No
3612 | NarrativeText | The signs and symptoms of anaerobic infection can vary depending on the location of the infection. In general, anaerobic infections result in tissue destruc- KEY TERMS Abscess—A lump filled with pus resulting from an infection. | No
3613 | NarrativeText | Anaerobic—Living and growing in the absence of oxygen. | No
3614 | NarrativeText | Necrosis—Tissue death and destruction resulting from infection or disease. | No
3615 | NarrativeText | tion, an abscess which drains foul-smelling pus, and possibly fever. Symptoms for specific infections are as follows: ¢ Tooth and gum infections. Swollen, tender bleeding gums, bad breath, and pain. Severe infections may produce oozing sores. | No
3616 | ListItem | ¢ Throat infection. An extremely sore throat, bad breath, a bad taste in the mouth, fever, and a sense of choking. | No
3617 | ListItem | ¢ Lung infection. Chest pain, coughing, difficulty breath- ing, fever, foul-smelling sputum, and weight loss. | No
3618 | ListItem | + Intraabdominal infection. Pain, fever, and possibly, if fol- lowing surgery, foul- smelling drainage from the wound. | No
3619 | ListItem | + Pelvic infection. Foul-smelling pus or blood draining from the uterus, general or localized pelvic pain, fever, and chills. | No
3620 | ListItem | ¢ Skin and soft tissue infection. Infected wounds are red, painful, swollen, and may drain a foul-smelling pus. Skin infection causes localized swelling, pain, redness, and possibly a painful, open sore (ulcer) which drains foul-smelling pus. Severe skin infections may cause extensive tissue destruction (necrosis). | No
3621 | ListItem | * Bloodstream. Bloodstream invasion causes high fever (up to 105°F [40.6°C}), chills, a general ill feeling, and is potentially fatal. | No
3622 | Title | Diagnosis | No
3623 | NarrativeText | The diagnosis of anaerobic infection is based pri- marily on symptoms, the patient’s medical history, and location of the infection. A foul-smelling infection or drainage from an abscess is diagnostic of anaerobic infection. This foul smell is produced by anaerobic bac- teria and occurs in one third to one half of patients late in the infection. Other clues to anaerobic infection include tissue necrosis and gas production at the infection site. A sample from the infected site may be obtained, using a swab or a needle and syringe, to determine which bacte- ria is (are) causing the infection. Because these bacteria can be easily killed by oxygen, they rarely grow in the laboratory cultures of tissue or pus samples. | No
3624 | Title | 168 | No
